comparison.primary;comparison.secondary
солдат;15.7894736842105;33.4883720930233
соловей;81.5789473684211;35.5038759689922
спрашивать;39.4736842105263;42.7906976744186
свекор;5.26315789473684;13.0232558139535
ванюшка;15.7894736842105;28.3720930232558
гореть;94.7368421052632;33.0232558139535
ай;15.7894736842105;27.2868217054264
звать;60.5263157894737;38.4496124031008
сестрица;5.26315789473684;33.6434108527132
лететь;86.8421052631579;33.4883720930233
держать;23.6842105263158;43.8759689922481
злой;97.3684210526316;35.0387596899225
или;73.6842105263158;28.6821705426357
король;0;9.14728682170543
чтобы;57.8947368421053;40.7751937984496
нету;31.5789473684211;44.9612403100775
товарищ;50;28.5271317829457
целовать;39.4736842105263;42.015503875969
класть;18.4210526315789;43.1007751937985
дом;44.7368421052632;44.8062015503876
реченька;31.5789473684211;36.4341085271318
о;97.3684210526316;38.9147286821705
прощать;52.6315789473684;29.1472868217054
вдова;23.6842105263158;30.077519379845
куст;47.3684210526316;37.5193798449612
шляпа;21.0526315789474;33.0232558139535
садик;15.7894736842105;42.6356589147287
тонкий;13.1578947368421;41.8604651162791
душечка;44.7368421052632;35.968992248062
носить;31.5789473684211;42.4806201550388
посылать;10.5263157894737;40.7751937984496
забывать;86.8421052631579;34.2635658914729
лютый;89.4736842105263;26.2015503875969
сладкий;73.6842105263158;38.6046511627907
иной;63.1578947368421;33.1782945736434
красавица;86.8421052631579;37.984496124031
рано;68.4210526315789;39.5348837209302
болеть;63.1578947368421;34.8837209302326
ум;65.7894736842105;38.4496124031008
нельзя;68.4210526315789;27.5968992248062
называть;36.8421052631579;36.1240310077519
славный;39.4736842105263;41.3953488372093
платье;15.7894736842105;40.4651162790698
ретивый;86.8421052631579;38.2945736434108
сударь;15.7894736842105;31.937984496124
время;89.4736842105263;40.9302325581395
летать;44.7368421052632;33.4883720930233
ночка;52.6315789473684;38.4496124031008
мимо;28.9473684210526;34.2635658914729
платок;15.7894736842105;40.4651162790698
вечор;36.8421052631579;38.4496124031008
кабак;0;29.6124031007752
солнышко;92.1052631578947;36.1240310077519
красота;81.5789473684211;32.7131782945736
вор;0;28.062015503876
подавать;18.4210526315789;39.5348837209302
прийти;81.5789473684211;38.7596899224806
час;63.1578947368421;33.7984496124031
полагать;23.6842105263158;37.6744186046512
окно;68.4210526315789;35.8139534883721
ждать;78.9473684210526;31.3178294573643
горенка;0;39.6899224806202
