"CONTROL_SOBOLEVSKY_1" "CONTROL_SOBOLEVSKY_2" "CONTROL_SOBOLEVSKY_3" "KIREYEVSKY_1" "KIREYEVSKY_2" "KIREYEVSKY_3" "PESENNIKI_1" "PESENNIKI_2" "PESENNIKI_3" "RUSCORPORA_1" "RUSCORPORA_2" "RUSCORPORA_3" "RUSSKIE_PESNI_1" "RUSSKIE_PESNI_2" "RUSSKIE_PESNI_3" "SOBOLEVSKY_FULL_1" "SOBOLEVSKY_FULL_2" "SOBOLEVSKY_FULL_3"
"родимый" 0.27 0.36 0.28 0.1 0.11 0.06 0.01 0.04 0.02 0.01 0.02 0.02 0.12 0.09 0.12 0.14 0.11 0.08
"хороший" 0.17 0.17 0.15 0.19 0.13 0.09 0.13 0.15 0.11 0.04 0.08 0.01 0.04 0.03 0 0.13 0.16 0.18
"вот" 0.05 0.05 0.05 0.08 0.06 0.07 0.1 0.05 0.05 0.2 0.22 0.26 0.07 0.09 0.13 0.1 0.16 0.16
"его" 0.07 0.09 0.05 0.1 0.1 0.13 0.1 0.1 0.1 0.25 0.11 0.2 0.05 0.12 0.11 0.13 0.07 0.07
"когда" 0.04 0.03 0.04 0.16 0.04 0.09 0.09 0.07 0.09 0.3 0.19 0.33 0.09 0.07 0.13 0.07 0.06 0.05
"река" 0.11 0.17 0.14 0.13 0.12 0.11 0.09 0.12 0.12 0.09 0.1 0.01 0.09 0.08 0.07 0.09 0.14 0.13
"про" 0.09 0.11 0.11 0.16 0.22 0.09 0.13 0.11 0.09 0.04 0.02 0.06 0.11 0.05 0.04 0.14 0.17 0.14
"только" 0.13 0.09 0.08 0.12 0.13 0.14 0.1 0.09 0.04 0.13 0.08 0.15 0.17 0.09 0.11 0.08 0.08 0.07
"ой" 0.27 0.16 0.2 0.12 0.14 0.15 0.07 0.04 0.1 0 0 0 0 0.03 0.01 0.2 0.2 0.18
"для" 0.05 0.05 0.04 0.07 0.06 0.05 0.05 0.05 0.02 0.2 0.31 0.2 0.18 0.17 0.21 0 0.05 0.1
"спать" 0.16 0.11 0.12 0.11 0.15 0.16 0.17 0.18 0.14 0.06 0.02 0.08 0.05 0.07 0 0.08 0.14 0.05
"темный" 0.12 0.13 0.13 0.12 0.13 0.16 0.06 0.05 0.1 0.07 0.08 0.04 0.14 0.13 0.16 0.04 0.12 0.06
"грудь" 0.08 0.07 0.06 0.04 0.02 0.08 0.08 0.09 0.07 0.09 0.17 0.09 0.3 0.26 0.23 0.03 0.02 0.05
"два" 0.07 0.1 0.16 0.11 0.09 0.11 0.11 0.08 0.07 0.06 0.12 0.1 0.04 0.03 0.03 0.17 0.21 0.13
"отдавать" 0.26 0.21 0.22 0.08 0.06 0.11 0.1 0.07 0.08 0.03 0.03 0.04 0.06 0.06 0.07 0.11 0.06 0.13
