"CONTROL_SOBOLEVSKY_1" "CONTROL_SOBOLEVSKY_2" "CONTROL_SOBOLEVSKY_3" "KIREYEVSKY_1" "KIREYEVSKY_2" "KIREYEVSKY_3" "PESENNIKI_1" "PESENNIKI_2" "PESENNIKI_3" "RUSCORPORA_1" "RUSCORPORA_2" "RUSCORPORA_3" "RUSSKIE_PESNI_1" "RUSSKIE_PESNI_2" "RUSSKIE_PESNI_3" "SOBOLEVSKY_FULL_1" "SOBOLEVSKY_FULL_2" "SOBOLEVSKY_FULL_3"
"калинов" 0 0.01 0.01 0 0 0 0.01 0.01 0.02 0 0 0 0 0 0 0 0.02 0.01
"капуста" 0 0 0.01 0 0 0.01 0.03 0.03 0 0 0.01 0 0 0 0 0 0 0
"касатый" 0 0 0 0 0 0 0.01 0.04 0.04 0 0 0 0 0 0 0 0 0
"клеточка" 0 0 0 0.02 0 0.01 0.01 0.01 0.01 0 0 0 0 0.01 0.01 0 0.01 0
"ключник" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.05 0.03 0.01
"корешок" 0 0 0 0 0.02 0 0.02 0.02 0.01 0 0 0 0 0.01 0 0.01 0 0
"кот" 0 0 0 0 0 0 0.02 0.02 0.02 0.01 0 0 0 0 0 0.01 0 0.01
"красавец" 0.01 0.01 0.02 0 0 0 0 0.01 0.01 0.02 0 0 0 0 0.01 0 0 0
"кум" 0 0 0.01 0.01 0.02 0 0 0 0 0 0.02 0.01 0 0 0 0.01 0 0.01
"куница" 0 0 0 0.01 0.01 0.02 0.01 0 0.01 0 0 0 0.01 0.01 0.01 0 0 0
"курица" 0.01 0 0.03 0 0.01 0.01 0 0 0 0 0 0.01 0 0 0 0.02 0 0
"кушать" 0 0.01 0.01 0 0 0 0 0 0 0.01 0.02 0 0 0 0 0.01 0.01 0.02
"ласково" 0 0 0 0 0 0 0.01 0 0.01 0.01 0.01 0 0 0.02 0.03 0 0 0
"летучий" 0 0 0 0 0 0 0 0 0 0.02 0.01 0.01 0.02 0 0.03 0 0 0
"листик" 0.03 0.02 0.01 0.02 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0
"любиться" 0 0 0 0 0.04 0 0.02 0.02 0 0.01 0 0 0 0 0 0 0 0
"мамушка" 0 0.01 0.02 0 0.01 0 0.01 0.01 0.01 0 0 0 0 0 0 0 0.01 0.01
"матка" 0.01 0 0 0 0.01 0 0.02 0.01 0.02 0 0 0 0 0 0 0.01 0.01 0
"матрос" 0 0 0 0.01 0 0.02 0.02 0.01 0.01 0 0 0.01 0 0 0 0 0.01 0
"медведь" 0 0.01 0 0 0 0 0.01 0.02 0.03 0 0 0 0 0 0 0.01 0.01 0
"межа" 0 0.01 0.01 0.01 0.01 0.02 0.01 0.01 0 0 0 0 0 0 0 0.01 0 0
"мило" 0 0 0 0 0.01 0 0.02 0.02 0.01 0.02 0 0 0 0.01 0 0 0 0
"младешенька" 0.01 0 0.02 0 0.02 0 0 0.01 0 0 0 0 0 0 0 0.01 0 0.02
"могилушка" 0 0 0 0.01 0.01 0.01 0 0 0 0 0 0 0 0.03 0.02 0 0.01 0
"молодица" 0.01 0 0.02 0.01 0 0 0.01 0.01 0.01 0 0 0 0 0 0 0.02 0 0
"мучение" 0 0 0 0 0.01 0 0 0.02 0.03 0 0.03 0 0 0 0 0 0 0
"набирать" 0.01 0 0 0.02 0.01 0 0.01 0.01 0.01 0 0 0 0 0 0 0 0 0.02
"наводить" 0.01 0.01 0.01 0.01 0 0.01 0 0 0 0.02 0.01 0.01 0 0 0 0 0 0
"надеяться" 0 0 0 0.01 0.02 0.01 0 0.01 0.01 0 0 0.01 0 0 0.01 0 0.01 0
"назолушка" 0.01 0.01 0.01 0 0.02 0 0 0 0 0 0 0 0 0.01 0.01 0.01 0 0.01
"наскучивать" 0 0 0 0 0 0 0 0 0 0.01 0.01 0.01 0.03 0.03 0 0 0 0
"наслаждение" 0 0 0 0 0 0 0 0 0 0.03 0.02 0.01 0.01 0.01 0.01 0 0 0
"наступать" 0 0 0 0 0 0 0.02 0.01 0.01 0 0.01 0 0 0.01 0.01 0 0.01 0.01
"никак" 0 0 0 0 0.01 0.01 0 0 0 0.01 0.02 0 0 0.01 0.02 0 0.01 0
"нянька" 0.02 0.01 0.03 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0.02
"оба" 0 0 0 0.01 0.01 0 0 0 0 0.02 0.01 0 0.02 0 0.01 0 0.01 0
"обедать" 0.02 0.01 0.02 0.01 0 0 0.01 0.01 0 0 0 0 0 0 0 0 0 0.01
"обещать" 0 0 0 0.01 0 0 0 0 0 0.01 0 0 0.02 0.01 0.04 0 0 0
"обитель" 0 0 0 0 0 0 0 0 0 0 0.03 0.06 0 0 0 0 0 0
"овин" 0 0 0 0.01 0.02 0 0.01 0.01 0 0 0 0 0 0 0.01 0.01 0.01 0.01
"одеяло" 0 0 0.01 0.01 0 0.01 0.01 0.02 0.01 0.01 0 0 0 0 0 0 0 0.01
"одиночество" 0 0 0 0 0.01 0 0 0 0 0 0 0.01 0.03 0 0.03 0 0 0.01
"опускаться" 0 0 0 0.01 0 0.01 0 0 0 0 0.01 0 0.02 0.01 0.02 0 0 0.01
"освещать" 0.01 0 0 0 0 0 0 0 0 0.01 0 0.04 0.01 0.01 0.01 0 0 0
"пенять" 0.03 0.01 0.03 0 0 0.01 0 0 0 0 0 0 0 0 0 0.01 0 0
"перевозчик" 0 0 0 0.02 0.05 0.02 0 0 0 0 0 0 0 0 0 0 0 0
"перемена" 0.01 0.01 0.01 0 0 0.01 0 0 0 0.01 0 0.01 0 0 0 0.02 0.01 0
"перенимать" 0.02 0 0 0 0.01 0 0.01 0.01 0 0 0 0 0 0 0 0.01 0.03 0
"петелька" 0.01 0.01 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0.01 0.02
"петр" 0.01 0.01 0.01 0.02 0 0.01 0 0 0 0.01 0.01 0 0 0 0 0 0 0.01
"пеший" 0 0 0.01 0.02 0 0 0.01 0 0.01 0 0 0 0 0 0 0 0.03 0.01
"победа" 0 0 0 0 0 0 0 0 0 0.03 0.01 0.04 0 0 0.01 0 0 0
"погружать" 0 0 0 0 0 0 0.02 0.02 0.01 0.02 0 0.02 0 0 0 0 0 0
"подворье" 0 0 0.01 0.02 0.03 0 0.01 0.01 0.01 0 0 0 0 0 0 0 0 0
"подговаривать" 0.01 0.01 0.01 0.01 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0.03
"подуть" 0 0 0 0.02 0 0 0 0 0 0 0 0 0.02 0.03 0.01 0 0 0.01
"подыматься" 0 0 0 0 0 0.03 0.01 0.02 0.01 0 0 0 0.01 0 0 0.01 0 0
"подь" 0.02 0.01 0.01 0 0 0 0.01 0 0 0 0 0 0 0 0 0.03 0 0.01
"поиграть" 0 0 0.01 0 0 0.02 0.02 0.01 0 0 0 0 0.01 0.01 0 0 0 0.01
"полночный" 0 0 0 0 0 0 0 0 0 0.01 0.02 0.03 0.01 0.01 0.01 0 0 0
"полоса" 0.01 0.01 0 0 0 0 0 0.01 0.01 0.01 0.01 0 0 0 0 0.01 0.02 0
"полоть" 0 0 0.01 0.01 0 0 0.02 0 0.01 0 0 0 0 0 0 0.01 0.02 0.01
"полюбиться" 0 0 0 0 0 0 0 0 0 0.01 0 0 0.03 0.03 0.01 0 0 0.01
"посеять" 0.02 0.01 0 0.01 0.01 0 0.01 0 0.01 0 0 0 0 0 0 0 0.01 0.01
"постынуть" 0.01 0.01 0 0.01 0 0.01 0 0 0 0.01 0 0.01 0.01 0.01 0.01 0 0 0
"потуплять" 0 0 0 0 0 0 0.02 0.02 0.02 0.02 0 0.01 0 0 0 0 0 0
"потянуть" 0.03 0.02 0.03 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0
"походка" 0.01 0.01 0 0 0 0 0.01 0.03 0.03 0 0 0 0 0 0 0 0 0
"появляться" 0 0 0 0.02 0 0 0.01 0 0 0 0 0 0.01 0.02 0.02 0 0 0.01
"предел" 0 0 0 0 0 0 0 0 0 0.02 0.03 0.02 0.01 0.01 0 0 0 0
"прибегать" 0 0 0 0.01 0 0 0 0 0 0.02 0.01 0 0.01 0.01 0.01 0 0.01 0.01
"пробивать" 0 0 0 0 0.01 0.01 0 0 0 0.01 0 0.01 0.02 0 0 0 0.02 0.01
"пролеживать" 0.01 0.01 0.01 0 0 0.01 0.01 0.02 0 0 0 0 0 0 0 0 0.01 0.01
"простота" 0 0 0 0.01 0 0.01 0.01 0 0 0.02 0.01 0 0.01 0.01 0.01 0 0 0
"прочить" 0 0 0 0.01 0.02 0.01 0.01 0 0 0 0 0 0.01 0.01 0 0.01 0.01 0
"пряничек" 0.01 0.02 0.01 0.02 0.01 0 0 0 0 0 0 0 0 0 0 0.01 0.01 0
"пышный" 0 0.02 0 0 0 0 0 0 0 0.01 0.02 0.03 0.01 0 0 0 0 0
"пятый" 0.01 0 0.02 0 0 0.02 0 0 0 0.01 0 0 0 0 0 0.01 0.02 0
"равный" 0 0 0 0.01 0 0 0 0 0.01 0.02 0.03 0 0 0 0.02 0 0 0
"разбойник" 0 0 0 0 0.01 0.01 0 0.01 0 0.02 0 0 0.01 0 0 0.03 0 0
"разлучница" 0 0 0 0.02 0.02 0.01 0 0 0 0 0 0 0.01 0.01 0 0.01 0 0.01
"разумный" 0.02 0 0.01 0.01 0 0.01 0 0 0 0.01 0 0 0 0.02 0 0 0 0.01
"ранешенько" 0.01 0.01 0 0 0 0.01 0 0.02 0.02 0 0 0 0 0 0 0.01 0.01 0
"раскидывать" 0 0 0 0 0 0 0.02 0.02 0.03 0 0.01 0 0 0.01 0 0 0 0
"распарывать" 0.02 0.01 0.01 0 0 0 0.01 0.01 0.01 0 0 0 0 0 0.01 0 0 0.01
"ратный" 0 0 0 0 0 0 0 0 0 0.01 0 0.02 0.02 0.02 0.02 0 0 0
"ребятушки" 0 0 0 0.01 0.03 0.03 0 0 0 0 0 0 0 0 0 0.01 0.01 0
"родные" 0 0 0 0 0.01 0.01 0 0 0 0 0.01 0 0.02 0.02 0.02 0 0 0
"рукавица" 0.02 0.01 0 0 0 0 0.01 0.02 0.01 0 0 0 0.01 0.01 0 0 0 0
"саратов" 0 0 0 0.02 0.01 0.04 0 0 0 0 0 0 0 0 0 0.02 0 0
"свидание" 0 0 0 0 0 0 0.01 0 0 0 0.01 0.02 0.02 0.01 0.02 0 0 0
"свинья" 0 0 0 0.02 0.01 0.02 0 0 0 0 0.02 0 0 0 0 0.01 0 0.01
"сделаться" 0.01 0 0 0.01 0.02 0 0.01 0 0.01 0.02 0 0.01 0 0 0 0 0 0
"семеро" 0 0 0 0.01 0 0.01 0.02 0.01 0.02 0 0 0 0 0 0 0.02 0 0
"сердечушка" 0.01 0.03 0.04 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0
"скучать" 0 0 0 0 0 0 0 0 0 0 0.02 0.02 0 0.02 0.03 0 0 0
"слать" 0 0 0.01 0 0.01 0 0.02 0 0.01 0 0.01 0 0 0 0 0.01 0.02 0
"слободка" 0.01 0 0 0.01 0 0.02 0.03 0.01 0.01 0 0 0 0 0 0 0 0 0
"словом" 0 0 0 0 0 0 0 0 0 0.01 0.02 0.03 0.01 0.01 0.01 0 0 0
"случилось" 0.02 0.03 0.03 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0
"совсем" 0 0 0 0.01 0.01 0 0 0.01 0 0.01 0 0.01 0 0.01 0.01 0.01 0.01 0
"совушка" 0.02 0.02 0.01 0 0 0 0.01 0.01 0.01 0 0 0 0 0 0 0 0.01 0
"согласный" 0.01 0.01 0.01 0 0 0 0.01 0.01 0 0.01 0.02 0 0 0 0 0 0 0.01
"создавать" 0.02 0.01 0 0 0 0 0 0 0 0.01 0.02 0.03 0 0 0 0 0 0
"сокрыться" 0 0 0 0 0 0 0 0 0 0.02 0.01 0 0.02 0.02 0.02 0 0 0
"сохранять" 0.01 0.02 0.01 0 0 0 0 0 0 0.01 0.02 0 0 0.01 0.01 0 0 0
"списывать" 0 0 0.01 0 0 0 0.03 0.03 0.01 0 0 0 0 0 0 0.01 0 0
"спор" 0 0 0 0 0 0 0 0 0 0.03 0.02 0.02 0.01 0.01 0 0 0 0
"спорождать" 0.03 0 0.03 0 0.01 0 0 0 0 0 0 0 0 0 0 0.01 0 0.01
"столбовой" 0 0 0 0.01 0 0.02 0 0 0.01 0 0 0 0.01 0.01 0.01 0.01 0.01 0
"столько" 0.01 0.01 0.01 0 0 0 0 0 0 0.02 0.01 0.01 0.01 0 0 0 0 0.01
"стремиться" 0 0 0 0 0 0 0 0 0 0.03 0.02 0.03 0 0.01 0 0 0 0
"считать" 0 0 0 0 0 0 0.01 0.01 0 0.01 0.02 0 0.01 0.01 0 0.02 0 0
"съедать" 0 0 0 0.01 0 0 0 0 0 0.03 0 0 0 0 0.02 0 0.02 0.01
"сытый" 0 0 0.01 0.01 0 0 0 0.01 0.01 0 0 0 0 0 0 0.01 0 0.04
"танюшка" 0 0 0 0.01 0.01 0.01 0 0 0 0 0 0 0.03 0.02 0 0 0 0.01
"темница" 0 0 0 0.01 0 0.01 0 0.02 0.01 0 0.01 0 0.02 0 0 0 0.01 0
"темнота" 0 0 0 0 0 0 0 0 0 0.02 0.01 0.01 0.01 0.02 0.02 0 0 0
"терять" 0 0 0.01 0.01 0.02 0.01 0 0 0 0 0.01 0 0.01 0 0 0.02 0 0
"тешить" 0.01 0 0.01 0 0 0 0.01 0.01 0.01 0.02 0 0 0 0.01 0.01 0 0 0
"тихонько" 0 0 0 0 0.01 0 0 0 0 0.02 0.02 0.02 0 0 0.01 0 0 0.01
"толкучий" 0.02 0.02 0.03 0 0 0 0.01 0 0.01 0 0 0 0 0 0 0 0 0
"тонуть" 0 0 0 0 0 0.03 0 0 0 0.01 0 0.03 0 0 0 0 0 0.02
"топнуть" 0 0.01 0.01 0 0 0.01 0.01 0 0 0 0 0 0 0 0 0.02 0.01 0.02
"торный" 0 0 0 0.01 0.01 0.03 0 0 0 0 0 0 0.01 0.01 0.01 0 0 0.01
"трактир" 0 0.01 0 0.01 0.02 0.02 0 0 0.01 0 0.01 0 0 0 0 0.01 0 0
"тревожить" 0 0 0 0 0 0 0.01 0 0.01 0.03 0 0.03 0 0 0.01 0 0 0
"третия" 0.03 0.03 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0.01 0.01
"тугой" 0.01 0 0 0.01 0.01 0.01 0 0.01 0.01 0 0 0 0 0.01 0.01 0.01 0 0
"удаленький" 0.02 0 0 0 0 0 0 0.01 0.01 0 0 0 0.01 0 0.01 0.03 0 0
"узреть" 0 0 0 0.01 0 0 0 0 0 0.01 0.03 0.01 0.01 0.01 0.01 0 0 0
"укрывать" 0.01 0.02 0.01 0 0 0.02 0 0 0 0.01 0 0 0 0.01 0 0 0 0.01
"умолк" 0 0 0 0 0 0 0.01 0.01 0 0 0.01 0 0.02 0.02 0.01 0 0 0.01
"уронить" 0 0 0 0.02 0.01 0.02 0 0 0 0.01 0 0 0.02 0 0.01 0 0 0
"участь" 0 0 0.01 0.01 0.01 0 0 0 0 0 0.01 0.01 0.01 0 0 0 0.02 0.01
"хаживать" 0.01 0.01 0 0.01 0 0 0 0.01 0 0 0 0 0.01 0 0 0.03 0.01 0
"хоромушка" 0.03 0.03 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01
"хоша" 0.01 0.01 0.01 0 0 0 0.01 0.01 0.01 0 0 0 0 0 0 0.01 0.01 0.01
"чернеть" 0 0 0 0 0 0 0.01 0.02 0.01 0 0.02 0.01 0.01 0 0.01 0 0 0
"черноокий" 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0.04 0.03 0 0 0
"чин" 0 0 0 0 0 0 0 0 0 0.03 0.01 0.02 0 0 0.02 0 0.01 0
"чувствовать" 0 0 0 0 0 0 0.01 0.01 0.01 0.03 0.01 0.01 0 0 0.01 0 0 0
"школьный" 0.01 0.02 0.01 0.01 0.01 0 0 0.01 0.01 0 0 0 0 0 0 0 0 0.01
"щи" 0 0.01 0.01 0.01 0 0 0.01 0.01 0.02 0 0.01 0 0 0 0 0.01 0 0
"авось" 0 0 0 0 0.01 0.02 0.01 0.01 0.02 0 0 0 0 0.01 0 0 0 0
"безвременье" 0 0.01 0.01 0 0 0 0.01 0.01 0.02 0 0.01 0 0.01 0 0 0 0 0
"безмолвный" 0 0 0 0 0 0 0 0 0 0.02 0.05 0.01 0 0 0 0 0 0
"белешенький" 0 0.01 0.01 0.01 0 0 0.01 0.01 0.01 0 0 0 0 0 0 0.01 0.01 0
"белила" 0.01 0.01 0 0 0 0.01 0 0.01 0 0 0 0 0 0 0 0 0.02 0.02
"бессмертие" 0 0 0 0 0 0 0 0 0 0.03 0.02 0.03 0 0 0 0 0 0
"бессмертный" 0 0 0 0 0 0 0 0 0 0.03 0.03 0.02 0 0 0 0 0 0
"благословлять" 0 0 0 0 0 0.01 0 0 0 0.04 0 0 0 0.01 0 0 0.01 0.01
"бобер" 0 0 0 0.03 0 0.02 0 0 0 0 0 0 0 0 0 0.01 0.01 0.01
"бояр" 0 0 0 0.02 0.01 0 0.01 0.01 0.01 0 0 0 0 0 0 0.01 0 0.01
"бравый" 0 0 0 0.02 0.01 0 0 0 0 0 0 0 0 0.01 0 0 0.02 0.02
"буде" 0 0 0 0 0 0.01 0.01 0.01 0.02 0 0 0 0 0 0 0.01 0.02 0
"вдовка" 0.01 0 0.01 0.03 0 0.01 0 0 0 0 0 0 0 0 0 0.01 0.01 0
"вековать" 0.01 0 0.02 0 0 0 0.01 0 0.01 0 0 0.01 0 0 0.01 0 0.01 0
"веселенек" 0.02 0.01 0.01 0 0 0 0.01 0.02 0.01 0 0 0 0 0 0 0 0 0
"весло" 0 0 0 0 0.01 0 0.01 0.02 0.02 0 0.01 0 0 0 0 0.01 0 0
"весьма" 0.01 0 0 0 0 0 0.01 0.01 0.02 0.01 0 0 0 0 0 0.01 0 0.01
"вечеринка" 0.01 0.01 0.01 0.01 0.02 0 0.01 0.01 0 0 0 0 0 0 0 0 0 0
"вешний" 0 0 0.01 0.01 0 0 0 0 0 0.01 0 0.01 0.03 0.01 0 0 0 0
"вид" 0 0 0 0 0 0 0 0 0 0.02 0.04 0.01 0.01 0 0 0 0 0
"волость" 0 0.01 0.03 0 0 0 0 0 0 0 0 0.01 0 0 0 0.02 0 0.01
"восклицать" 0 0 0 0 0 0 0 0 0 0 0.02 0.01 0 0.01 0 0.01 0.02 0.01
"восток" 0 0 0 0 0 0.02 0 0 0 0.02 0.01 0.02 0 0.01 0 0 0 0
"восторг" 0 0 0 0 0 0 0 0 0 0.01 0.04 0.03 0 0 0 0 0 0
"вплетать" 0 0 0 0.01 0.01 0.02 0 0 0 0 0 0.01 0 0.01 0.01 0.01 0 0
"вымывать" 0 0 0 0 0.01 0 0.01 0.03 0.02 0 0 0 0 0 0 0 0.01 0
"выпадать" 0 0 0.01 0.02 0.02 0.02 0 0 0 0 0 0 0 0 0 0 0.01 0
"вырывать" 0 0 0 0 0.01 0 0.01 0.01 0.02 0 0 0.02 0 0 0 0 0.01 0
"выслушивать" 0 0.01 0.02 0 0.01 0 0 0 0 0.01 0 0 0 0.01 0 0.01 0 0.01
"вь" 0 0 0 0 0 0 0.03 0.04 0.01 0 0 0 0 0 0 0 0 0
"глубина" 0 0 0 0 0 0 0 0 0 0.03 0.02 0.02 0 0 0.01 0 0 0
"городить" 0.01 0 0.01 0.01 0.01 0 0 0.01 0.01 0 0 0 0 0 0 0.01 0.01 0
"господь" 0.01 0 0 0.01 0.01 0 0 0 0 0.01 0.01 0.01 0 0 0.01 0 0 0.01
"грязный" 0.01 0 0.02 0.01 0 0 0 0.01 0.01 0 0 0 0 0 0 0 0.01 0.01
"гудеть" 0.01 0.01 0 0 0 0 0 0.01 0.01 0.01 0 0 0.01 0.01 0 0.01 0 0
"гумно" 0.01 0.01 0.01 0 0 0 0.01 0.01 0 0 0.01 0 0 0 0 0.01 0 0.01
"гусар" 0 0 0 0.02 0.01 0.03 0 0 0 0 0.01 0 0 0 0 0.01 0 0
"дальнуть" 0.03 0.03 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"девать" 0 0 0 0.01 0 0 0 0.01 0.01 0 0 0 0.01 0 0 0.01 0.02 0.01
"деваться" 0 0.01 0 0 0 0 0 0.01 0 0 0 0.01 0.01 0 0.01 0 0.02 0.01
"девчина" 0 0 0 0 0.01 0.02 0.01 0.02 0.02 0 0 0 0 0 0 0 0 0
"денек" 0 0 0 0 0.01 0 0.01 0.01 0 0 0 0 0.01 0 0.01 0 0.02 0.01
"дид" 0.02 0.03 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0
"длинный" 0 0 0 0 0 0 0 0 0 0.01 0 0.02 0.01 0.01 0.03 0 0 0
"должный" 0 0 0 0 0 0 0.01 0 0 0.01 0.03 0.02 0.01 0 0 0 0 0
"дородный" 0 0 0 0.01 0 0 0.02 0.01 0.01 0 0 0 0 0 0 0.01 0 0.02
"досадушка" 0 0 0 0 0.02 0.01 0.01 0.01 0.01 0 0 0 0 0 0 0.02 0 0
"дрова" 0 0 0.01 0.02 0.02 0 0 0 0 0 0.01 0 0 0 0 0.01 0.01 0
"душистый" 0 0 0 0 0 0 0 0 0 0.02 0.04 0.01 0 0 0.01 0 0 0
"дым" 0 0 0 0 0 0 0 0 0 0 0.02 0.03 0 0.02 0.01 0 0 0
"дьякон" 0.01 0.01 0.01 0.02 0 0 0 0.01 0 0.01 0.01 0 0 0 0 0 0 0
"дядюшка" 0 0 0 0 0 0.04 0 0 0 0 0 0 0 0 0.01 0.02 0.01 0
"егерь" 0 0 0 0.01 0.03 0.04 0 0 0 0 0 0 0 0 0 0 0 0
"ежели" 0.02 0.02 0.01 0 0 0 0 0 0 0.01 0.01 0 0 0 0 0.01 0 0
"ельничек" 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0.02 0.03 0.02
"жалоба" 0.01 0.01 0.01 0.01 0 0 0 0 0 0 0 0 0.01 0.01 0.02 0 0 0
"жать" 0 0 0 0.01 0 0.02 0 0.01 0 0.01 0 0 0.01 0 0.01 0 0.01 0
"женися" 0.04 0.02 0.01 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0
"журавль" 0.01 0.01 0.01 0.01 0 0 0.01 0 0.01 0 0.01 0 0 0 0 0.01 0 0
"забавный" 0 0 0 0.01 0 0.03 0.01 0 0.01 0 0 0 0 0 0 0 0.01 0.01
"забота" 0 0 0 0.01 0 0.01 0 0 0 0.03 0.02 0 0 0 0 0.01 0 0
"задумываться" 0 0 0 0 0.01 0.01 0.01 0.01 0 0.01 0 0.02 0 0.01 0 0 0 0
"залог" 0.01 0 0.01 0 0 0 0 0.01 0.01 0.01 0.02 0 0.01 0 0 0 0 0
"занимать" 0.01 0.02 0.02 0 0.01 0 0 0 0 0.01 0 0 0 0 0 0 0.01 0
"зарастать" 0.01 0 0.01 0.01 0 0 0.01 0.01 0.01 0 0 0 0 0 0 0 0.01 0.01
"заюшка" 0 0 0 0.01 0.02 0.02 0 0 0 0 0 0 0 0 0 0 0.02 0.01
"звенеть" 0 0 0 0 0 0 0.01 0.01 0 0 0.01 0.03 0.01 0 0.01 0 0 0
"злобный" 0 0 0 0 0 0 0 0 0 0.02 0.02 0.03 0.01 0 0 0 0 0
"злосчастный" 0.01 0 0 0.02 0 0 0 0.01 0.01 0 0 0 0.01 0.01 0 0 0 0.01
"знатный" 0 0 0 0 0 0 0 0.01 0.01 0.02 0.02 0.02 0 0 0 0 0 0
"зятюшка" 0.01 0.01 0.01 0.02 0 0 0 0 0 0 0 0 0 0 0 0.01 0.01 0.01
"иванович" 0.01 0.02 0.02 0 0 0 0 0 0.01 0 0 0 0 0 0 0.02 0 0
"изголовье" 0 0 0 0.01 0 0.01 0.01 0.01 0 0 0.03 0 0 0.01 0 0 0 0
"издалека" 0.01 0.01 0 0 0 0 0.01 0 0.01 0 0 0 0.01 0.02 0.01 0 0 0
"исполнять" 0 0 0 0 0 0 0 0 0 0.02 0 0.03 0 0.01 0.01 0 0 0.01
"карта" 0 0 0 0 0 0.01 0.02 0.01 0.02 0 0 0 0 0 0 0 0.02 0
"кинуться" 0 0.01 0 0 0 0.01 0 0 0 0.01 0 0 0 0.02 0.01 0.01 0 0.01
"кисть" 0.01 0 0.01 0 0.01 0.01 0.01 0 0 0.01 0 0.01 0 0 0 0.01 0 0
"ковыль" 0 0 0 0.04 0 0.01 0 0 0 0 0 0 0.01 0 0.01 0.01 0 0
"коготь" 0 0 0 0 0.02 0.02 0 0 0 0 0.02 0 0 0 0 0 0.02 0
"колечушко" 0 0 0 0.03 0.02 0 0 0.02 0.01 0 0 0 0 0 0 0 0 0
"копыто" 0 0 0 0 0.01 0 0.01 0.01 0 0.02 0 0 0.02 0 0 0 0 0.01
"коренья" 0 0 0 0.01 0.02 0.03 0 0.01 0.01 0 0 0 0 0 0 0 0 0
"королевич" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.03 0.03 0.02
"косынька" 0 0 0 0.01 0 0 0.03 0.02 0.01 0 0 0 0.01 0 0 0 0 0
"краюшечка" 0.02 0.02 0.02 0 0.01 0 0.01 0 0 0 0 0 0 0 0 0 0 0
"кров" 0 0 0 0 0 0 0 0 0 0.02 0.01 0 0.03 0.02 0 0 0 0
"круглолицый" 0 0 0.01 0 0 0.01 0 0 0 0 0 0 0 0 0 0.03 0.02 0.01
"крушиться" 0 0 0 0.01 0.01 0 0.01 0 0 0 0 0 0.01 0.01 0.02 0.01 0 0
"лоза" 0.02 0.01 0.02 0 0 0.01 0 0 0 0 0 0.01 0 0 0 0.01 0 0
"луговой" 0.01 0.01 0 0 0 0 0.01 0.01 0.01 0 0 0.01 0 0 0.01 0.01 0 0
"любой" 0 0.01 0.01 0.01 0.01 0 0 0 0 0.01 0.01 0 0.01 0 0.01 0 0 0
"малешенький" 0 0.01 0.01 0.01 0.03 0 0 0 0.01 0 0 0 0 0 0 0.01 0 0
"марусенька" 0 0 0 0 0 0.01 0.03 0.01 0.01 0 0 0 0 0 0 0 0.01 0.01
"мгла" 0 0 0 0 0 0 0 0 0 0.01 0.04 0.02 0 0.01 0 0 0 0
"морянин" 0 0 0 0.01 0.02 0.02 0 0 0 0 0 0 0 0 0 0.01 0.02 0
"мудрый" 0 0.01 0 0 0 0 0 0.01 0.01 0.01 0.01 0.01 0.01 0 0 0 0.01 0
"мужичоночко" 0.01 0 0.01 0 0 0 0.01 0.01 0.03 0 0 0 0 0 0 0.01 0 0
"мягкий" 0 0 0 0.03 0.01 0.01 0 0 0 0 0.02 0 0 0 0 0 0 0.01
"мягко" 0.01 0.01 0.01 0.02 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0.01
"наклоняться" 0 0 0 0 0 0 0 0 0 0 0 0 0.03 0.02 0.03 0 0 0
"накупать" 0.02 0.02 0.01 0 0 0 0 0 0.01 0 0 0 0.01 0 0 0 0.01 0
"напрасный" 0 0 0 0.02 0.01 0.02 0.01 0 0.01 0 0.01 0 0 0 0 0 0 0
"невод" 0 0.01 0.01 0 0.01 0 0 0.01 0 0 0 0 0 0 0 0.02 0.01 0.01
"невозвратный" 0 0 0 0 0 0 0 0 0 0 0.01 0.01 0.03 0.02 0.01 0 0 0
"нерадостный" 0.01 0.01 0 0.01 0 0 0.01 0.01 0 0 0 0 0 0 0.01 0.02 0 0
"ножичек" 0 0 0 0.03 0.02 0 0 0 0 0 0 0 0 0 0 0 0.01 0.02
"овес" 0 0 0 0.01 0 0 0.01 0 0 0 0 0 0 0.01 0.03 0 0.02 0
"озарять" 0 0 0 0 0 0 0 0 0 0.01 0.02 0.05 0 0 0 0 0 0
