Name;Title;Publication;Year;G_title;Comment;Meter;Regularity;Rhyme;Type;path
Вельтман, А.Ф.;Что отуманилась зоренька ясная;NA;1831;NA;NA;Д43дм;reg;rhymed;core;corpus_split//62_veltman_1831_utf8.txt
Вельтман, А.Ф.;Загрустила зоря, зоря-зоренька;NA;1832;NA;NA;Пс2;reg;unrhymed;core;corpus_split//63_veltman_1832_utf8.txt
Вердеревский, А.;Не в лазури солнце ясное;Стихотворения Александра Вердеревского. М., 1838. С. 20-22;1838;Русская песня;NA;Х4дм;reg;rhymed;core;corpus_split//64_verderevskij_1838_utf8.txt
Виноградов;Не зарей щебечет ласточка;БдЧ. 1845, т. 73. С. 15;1845;Простонародные мелодии;NA;Х4д;reg;unrhymed;core;corpus_split//65_vinogradov_1845_utf8.txt
Виноградов;Разлюбила красна девица;БдЧ. 1845, т. 73. С. 15-16;1845;Простонародные мелодии;NA;Х4д;reg;unrhymed;core;corpus_split//66_vinogradov_1845_utf8.txt
Владимиров, М.;Эх, кормилицы, лошадки;Литературная газета 1848. № 41, 14 октября. С. 646;1848;Песня ямщика;В пандан к этим стихотворениям помещаем еще пять песен в том же народном духе одного из наших молодцых и талантливых поэтов. В июньской книжке репертуара и пантеона напечатны две песни Бояну и Измена. Под ними было также подписано имя Кольцова, но автор их объяснил нам, что потченный редактор Репертуара был введен в заблуждение, и что стихотворения эти принадлежат М. Вламирову. Песни эти действительно весьма замечательны, в чем вероятно согласятся наши читатели.;Х4ж + Х3м;reg;rhymed;core;corpus_split//67_vladimirov_1848_utf8.txt
Владимиров, М.;Что ретивый конь призадумался;Литературная газета 1848. № 41, 14 октября. С. 646;1848;NA;NA;Пс2;reg;unrhymed;core;corpus_split//68_vladimirov_1848_utf8.txt
Владимиров, М.;Девушка, красавица береги себя;Литературная газета 1848. № 41, 14 октября. С. 646-647;1848;Девушке;NA;Х3дм;unreg (перебои, сверхсхемные);unrhymed;core;corpus_split//69_vladimirov_1848_utf8.txt
Владимиров, М.;Схоронен в могиле хладной;Литературная газета 1848. № 41, 14 октября. С. 647;1848;Могила;NA;Х43жм;reg;rhymed;core;corpus_split//71_vladimirov_1848_utf8.txt
Владимиров, М.;Ну, дружней, веселей;Литературная газета 1848. № 48, 2 декабря. С. 760;1848;Русские песни (песня застольная);NA;Ан2м + Пс;unreg(почти reg);rhymed;core;corpus_split//73_vladimirov_1848_utf8.txt
Владимиров, М.;Сват родимый не куражься;Литературная газета 1848. № 48, 2 декабря. С. 760;1848;Русские песни;NA;Х4жм;reg;rhymed;core;corpus_split//75_vladimirov_1848_utf8.txt
Владимиров, М.;Чу! Взмахнул крылами;Литературная газета 1848. № 51, 23 декабря. С. 760;1848;Песня жнеца;NA;Х3ж;unreg (перебои, сверхсхемные);occ;core;corpus_split//76_vladimirov_1848_utf8.txt
Владимиров, М.;Не тоскуй не горюй;Литературная газета 1848. № 51, 23 декабря. С. 760;1848;NA;NA;Ан2м + Пс;reg;occ;core;corpus_split//77_vladimirov_1848_utf8.txt
