CONTROL_SOBOLEVSKY;KIREYEVSKY;PESENNIKI;RUSCORPORA;RUSSKIE_PESNI;SOBOLEVSKY_FULL
жизнь;-0.782729926184579;-0.645510471785435;-0.366453181047067;1.53886983404668;0.975118724200503;-0.719294979230103
знать;-1.29493809339798;-0.220108534393223;1.0043270526947;0.285231091764466;1.15179078413002;-0.926302300797982
становиться;0.708123278437133;1.02741556728992;-0.176586989757462;-1.24985171858029;-1.10373259691803;0.794632459528729
молодой;0.166844011432452;1.03127408898685;0.014422585374254;-1.25961159304777;-1.05365989025658;1.10073079751079
давать;-0.695766024608097;-1.23945219932874;0.0145540957474204;1.59113336222037;0.608305360690254;-0.278774594721205
мочь;-0.600726905129624;-0.705687337405459;-0.307577113257962;1.79121565581989;0.552625378038616;-0.729849678065464
свет;-0.188785700025216;-0.890218205529459;-0.106049415914703;0.0980361701468086;1.87771448051673;-0.790697329194162
жить;-0.0487378924789204;-0.150418014759551;-0.475251903705816;-1.44332200405142;1.51906403540698;0.598665779588723
этот;0.922520117776534;0.620554719133659;-1.52632920926591;0.436476869075624;-0.981915903712895;0.528693406992986
идти;-0.529749546656969;0.65922981615767;1.0892326752057;-0.94124843696184;-1.18130401398225;0.903839506237692
пойти;0.235471620546686;1.20938353988176;0.103404914827177;-1.38927435035771;-0.953715529178459;0.794729804280543
человек;0.756846131502538;-0.594769042007452;-0.881582943722217;-0.344374565735982;1.67468484849905;-0.610804428535938
красный;-0.373817736477512;0.772916903334755;0.62147390416834;-1.8631553795402;0.579893653057806;0.262688655456805
ль;-0.216610291669551;-0.828865471333617;1.01132287970516;-0.632961413377836;1.47813723547002;-0.811022938794183
говорить;1.59729415777688;0.00147239488367911;0.169612644093129;-0.725278860881819;-1.3430798920357;0.299979556163831
белый;0.409615061883247;1.1931404993841;-0.116997436554994;-1.70933279506813;-0.361568465853223;0.585143136209004
ж;-0.951586496203858;0.00919048071222185;-0.427101596112869;1.08692507153902;1.3011684128742;-1.01859587280871
земля;-0.97869015076207;-0.379789631760653;-0.628479502421486;0.820222342201795;1.62007882195557;-0.453341879213157
над;-0.752622881620075;-0.60948519240482;-0.651181578782791;1.38585719887689;1.18567185426342;-0.55823940033263
бог;-0.137765969610824;-0.43819946813397;-1.01704704285713;1.91479404116934;-0.0259664127631562;-0.295815147804266
еще;1.1327031062825;0.14786162118845;-0.758481284490839;-0.0676435955340124;-1.45441047770895;0.999970630262853
жена;0.88017882706071;0.792169962797176;-0.484783767719497;-1.12280687760295;-1.05706062962037;0.992302485084934
конь;-0.55122885880335;0.968221776557236;-0.515609541605295;-1.16224403544371;-0.190284035471256;1.45114469476637
девица;-0.503869155226668;-0.196002596768992;0.799699066507163;-1.61364243129437;1.15598164895907;0.357833467823802
здесь;-0.792779901915956;-0.55738362970577;-0.0379723301120314;1.91211907563459;0.102633580721412;-0.626616794622241
лишь;-0.821118039947844;-0.818625506798833;-0.00879684070444025;1.15305332527264;1.29732782364719;-0.801840761468716
до;-0.884026237860131;1.31703714189075;-1.15657704542785;-0.545559405535555;0.487482142964841;0.781643403967942
ах;-0.354850811784596;-0.722959639366123;1.67191067379637;-0.946379814911947;0.723149736825616;-0.370870144559321
мир;-0.610304477520278;-0.591547786480369;-0.175456281007155;1.95076134627216;0.0853763182073144;-0.65882911947167
стоять;-0.37848350939974;1.06841048486495;0.71556053389912;-1.08966752798827;-1.14936748836477;0.83354750698871
другой;1.86545849049615;-0.0165939506546521;-0.484235753008171;-0.702626118845387;0.204020986779098;-0.86602365476704
ночь;0.11985629854518;-0.305629113847688;-0.645922453429707;0.146346042140408;1.79504174170695;-1.10969251511514
поле;1.01501160087945;0.201826192083171;-0.755310494147695;-1.59320986814272;0.865719003819704;0.265963565508098
видеть;-0.955660933169114;-0.503298528302324;0.43948324915989;1.56606129521703;0.44723908142257;-0.993824164328056
ко;0.715388684173596;0.516353496378935;0.513328962228193;-1.71427909987754;-0.729141272448522;0.698349229545334
слеза;0.226881674646248;-0.272819728500447;-0.498560506510158;-0.561108758995398;1.91285967159018;-0.807252352230422
добрый;-0.167280597764898;0.323003458661368;0.0988847748830926;-1.79974871585243;0.311548930063703;1.23359215000916
сей;-0.480976693703479;-0.641844400151292;0.063045060866692;1.97829555671945;-0.36644236334835;-0.552077160383019
сон;-0.513965100259237;-0.739266968297982;-0.231034593778976;1.88308722182203;0.305763372307897;-0.704583931793728
год;0.25672786707042;0.100869213828326;-1.30721154846353;1.3154415818649;-1.02487937517858;0.659052260878475
око;-0.301716133242806;-0.829066977688172;-0.391679314576274;0.456191790573166;1.81602758744402;-0.749756952509931
тут;0.0390825489722055;0.297379140110094;-0.149986656407451;-0.0593758416029208;-1.6249495461478;1.49785035507588
вода;1.42495041553976;0.139869155740784;0.428864381836936;-0.696908754171701;-1.49677828323111;0.20000308428533
иль;-0.693322112943725;-0.85418403757819;-0.00434118589081643;1.61829583172368;0.731159861126281;-0.797608356437228
сидеть;-0.0828223210970841;1.34952707070243;0.468654861409241;-1.49024551455384;-0.714759553990509;0.469645457529767
грудь;-0.306241271092612;-0.755610249558996;-0.383529677355035;0.281017888200499;1.89201607366158;-0.727652763855439
только;-0.269343142047503;1.58616191035886;-0.584695073688638;-0.177067278647117;0.693110680357813;-1.24816709633341
хотеть;0.79866778090446;0.667613846129221;-1.30073005324089;0.325884610413786;-1.24510973603457;0.753673551827993
чтоб;-0.931927445518372;-0.896552141450132;0.407880055089423;1.40153277234353;0.783117076596533;-0.764050317060983
пора;-0.290115113405023;-0.523145354352678;-1.03863514179063;0.953163689229315;1.51026384654287;-0.611531926223857
два;0.0176231292728236;0.914220052491277;-0.253425519729388;-0.566544523700278;-1.42933311241542;1.31745997408098
ходить;0.302093996103177;0.565728872877365;1.00921728731355;-1.62819442629775;-0.790827898893864;0.541982168897518
слово;-0.816884592128712;-1.09766471960593;0.765539235614116;1.34955061146174;0.491500929311917;-0.692041464653138
час;0.831005793004128;-0.907890500762182;-0.762128236673401;1.6051721969477;-0.252222873428081;-0.513936379088162
гора;-0.15314417816458;1.34487090114071;0.540407159480242;-0.643713631059455;-1.51093983489968;0.422519583502766
море;0.375069513976873;-0.123728781083629;1.5696948805082;-0.877686798310077;-1.23482066519493;0.291471850103561
новый;0.236645504060081;1.16703260891813;-0.634253183449109;-0.252421239377372;-1.47964757849807;0.962643888346339
б;1.06682981799425;-0.908958331941615;-0.436656865177785;0.190826798999673;1.22819135916187;-1.14023277903639
лес;0.548568810369746;1.11242434401086;-0.198941333536494;-1.7060883449692;0.612677171876157;-0.36864064775107
царь;-0.917875955203176;-0.172999519093773;0.057792819880278;1.90669408206488;-0.668272883616572;-0.205338544031636
девушка;0.436941682858692;1.40816903313725;-0.162252757228135;-1.37107003335996;-0.815961039247302;0.504173113839449
матушка;1.60101167877081;0.404937961303509;-0.111895707193411;-1.29244449676742;-0.752958712074118;0.151349275960631
радость;-0.200960346711466;-0.860391027037739;1.27445982082564;-0.744779105073222;1.24027404567138;-0.708603387674593
гулять;0.521437393078687;0.975064578814826;0.513844244765406;-1.39483734034057;-1.13791087219427;0.522401995875925
взять;1.42840943958996;0.352249734205687;-0.0289981035192658;-1.39696211674206;-0.817785608712799;0.463086655178472
