"CONTROL_SOBOLEVSKY" "KIREYEVSKY" "PESENNIKI" "RUSCORPORA" "RUSSKIE_PESNI" "SOBOLEVSKY_FULL"
"из" 0.250354669114579 0.254792428565687 0.327388223796726 0.275372247615581 0.200980978585955 0.309307106230465
"так" 0.0375532003671868 0.0570670739058795 0.156364524798436 0.344308973549278 0.303864098576385 0.0720251878004234
"кто" 0.329633647667529 0.214604348350279 0.175910090398241 0.283989338357294 0.260796746022251 0.206332102982645
"сердце" 0.212801468747392 0.18808021540811 0.278524309797215 0.287735899549342 0.722574470630458 0.157996897376526
"один" 0.150212801468747 0.273278945464775 0.244319569997557 0.274408846166197 0.299078837181481 0.203084282843104
"где" 0.196111157473087 0.172004983321947 0.141705350598583 0.29929671694195 0.248833592534992 0.128384419633646
"уж" 0.367186848034716 0.447695213599646 0.234546787197655 0.194125392050868 0.327790405550903 0.410753723530266
"ни" 0.254527246933155 0.438853835952257 0.288297092597117 0.223509136257078 0.265582007417155 0.219705480027817
"нет" 0.112659601101561 0.127798095084998 0.156364524798436 0.264828353975101 0.37564301949994 0.145005616818359
"под" 0.216974046565968 0.28855041594663 0.224774004397752 0.214249777882444 0.186625194401244 0.277211001322054
"день" 0.0417257781857632 0.0707310211791183 0.0977278279990227 0.27264261017566 0.282330422299318 0.0641922098168229
"любить" 0.275390136026037 0.374552907607604 0.4300024431957 0.169665699697064 0.299078837181481 0.291348571341235
"когда" 0.0458983560043395 0.0860024916609734 0.0879550451991205 0.264453697855897 0.0933125972006221 0.0531114116936809
"же" 0.166903112743053 0.207370493911506 0.0390911311996091 0.212215930378189 0.248833592534992 0.191239291745952
"себя" 0.254527246933155 0.220230679580436 0.25897874419741 0.203438272728246 0.212944132073214 0.209579923122187
"молодец" 0.479846449136276 0.609251296065587 0.469093574395309 0.0144510217407594 0.430673525541333 0.744706053172547
"со" 0.358841692397563 0.429208696700559 0.425116051795749 0.102923388175853 0.215336762770666 0.488128262148758
"рука" 0.200283735291663 0.146284611984086 0.190569264598094 0.214089210974213 0.136379949754755 0.163537296438097
"там" 0.0834515563715263 0.0964513925169795 0.107500610798925 0.232929061539944 0.215336762770666 0.0957151699947271
"сказать" 0.125177334557289 0.258811236587228 0.312729049596873 0.183795587621362 0.200980978585955 0.214738225696753
"наш" 0.091796712008679 0.17039746011333 0.141705350598583 0.195838105738661 0.126809426964948 0.206141054739143
"любовь" 0.0375532003671868 0.0908250612868223 0.122159784998778 0.235658698979865 0.210551501375763 0.0554039906157103
"бы" 0.605023783693566 0.223445725997669 0.34204739799658 0.155803423286483 0.294293575786577 0.263073431302873
"без" 0.200283735291663 0.168789936904714 0.0879550451991205 0.195142315802995 0.430673525541333 0.149590774662418
"его" 0.0584160894600684 0.102881485351445 0.102614219398974 0.213768077157752 0.102883119990429 0.110999029474923
"вот" 0.0375532003671868 0.106096531768677 0.0537503053994625 0.204829852599578 0.0933125972006221 0.127047081929129
"сам" 0.28373529166319 0.26684885263031 0.30295626679697 0.140656611610058 0.0957052278980739 0.293832198506767
"для" 0.0542435116414921 0.0369730337981755 0.0537503053994625 0.228647277320459 0.227299916257926 0.0422216618140413
"жизнь" 0.00834515563715263 0.0217015633163204 0.0488639139995114 0.234320641411276 0.179447302308889 0.0145196665061861
"знать" 0.104314445464408 0.158341036048708 0.219887612997801 0.183742065318618 0.227299916257926 0.122844020572075
"становиться" 0.254527246933155 0.274082707069083 0.200342047397997 0.134608591400036 0.143557841847111 0.259825611163331
"молодой" 0.292080447300342 0.42438612707471 0.268751526997312 0.0737537331806164 0.105275750687881 0.435016850455077
"давать" 0.125177334557289 0.112526624603143 0.141705350598583 0.178389835044263 0.15552099533437 0.134880059912729
"мочь" 0.0542435116414921 0.0474219346541816 0.073295870999267 0.209700382149242 0.1292020576624 0.0458515784405878
"свет" 0.150212801468747 0.0980589157255958 0.156364524798436 0.171538980293088 0.303864098576385 0.105458630413352
"жить" 0.196111157473087 0.191295261825343 0.175910090398241 0.130059195666834 0.270367268812059 0.226774265037407
"этот" 0.183593424017358 0.163967367278865 0.0244319569997557 0.152003339791691 0.0598157674362962 0.157996897376526
"идти" 0.146040223650171 0.268456375838926 0.312729049596873 0.103672700414263 0.078956813015911 0.293641150263264
"пойти" 0.308770758574647 0.459751637664269 0.288297092597117 0.0568942078163971 0.124416796267496 0.39546986405007
"человек" 0.200283735291663 0.135835711128079 0.122159784998778 0.147775077874951 0.244048331140089 0.135071108156232
"красный" 0.308770758574647 0.527267612426154 0.498411922795016 0.0249949153812394 0.490489292977629 0.430049596124013
"ль" 0.175248268380205 0.126190571876381 0.273637918397264 0.14188762457316 0.31104199066874 0.127620226659636
"говорить" 0.300425602937495 0.177631314552104 0.190569264598094 0.12170971643884 0.0741715516210073 0.200600655677572
