;KIREEVSKY.n;PESENNIKI.n;RUSCORPORA.n;RUSSKIE_PESNI.n;SOBOLEVSKY.n
том;-0.1219430191;1.4701293818;0.4316623793;-1.0536105326;-0.7262382094
мною;-0.5706109582;-0.4524298997;0.2911224921;1.6143793381;-0.8824609723
солнце;-0.4790830695;-0.6089957924;-0.0229965491;1.7349083876;-0.6238329765
душу;-0.6633413445;-0.2355509119;0.1145420277;1.6538746649;-0.8695244362
мог;-0.6686001068;-0.2890561384;1.7491758113;-0.1760408541;-0.615478712
милого;-0.4734033409;0.7952018231;-1.4479687435;1.0173978679;0.1087723935
свои;-0.6818053045;1.5494003508;0.1210029652;-1.0560798118;0.0674818003
чего;-0.4574360834;-0.2416131253;-0.3234909941;1.7572505729;-0.7347103701
своим;-1.3613118972;1.0298479013;0.3651266565;-0.7068889932;0.6732263326
средь;-0.6409475119;-0.6374139995;1.5547511791;0.4648983709;-0.7412880385
кровь;-0.95874889;-0.0028597869;1.1397091857;0.8506293356;-1.0287298444
ну;0.1097895731;0.2804875516;1.07274763;0.1872544017;-1.6502791565
твоих;-0.6073305183;0.0745304215;1.4930099794;0.2038228876;-1.1640327701
лежит;1.2510245427;0.1497499219;-1.3781433093;-0.5177627561;0.4951316007
голос;-0.9810718428;0.0697781635;1.5170129905;0.2205200785;-0.8262393896
чтобы;0.0037036458;-0.5697056579;-1.0967938482;0.0931500164;1.5696458439
сидит;0.8455168048;0.7506513476;-1.377611513;-0.7417049573;0.5231483179
муж;0.3937747236;0.4722546484;-1.1138476234;-0.9601927014;1.2080109528
друзья;-0.766586173;-0.5007971322;1.6952784122;0.0991274102;-0.5270225171
домой;0.9210946695;0.0794901324;-1.1132422683;-0.9182511067;1.0309085731
часто;-0.9306765654;0.1590870825;1.2696203228;0.5794105899;-1.0774414299
отец;0.3610794112;-1.7548644086;0.3866287806;0.7618501836;0.2453060332
между;-0.0792999873;-0.7636842261;1.7217808588;-0.612353255;-0.2664433903
какой;-0.8646906326;0.400610957;1.5689771029;-0.4531193143;-0.6517781131
скоро;-0.7436686545;-0.2669857255;-0.2140141973;1.7481086756;-0.5234400982
твои;-1.004554686;0.3431044923;0.8121024468;0.974028617;-1.12468087
саду;0.9658145046;0.8038716028;-1.2353877589;-0.8803671255;0.346068777
сердцу;-0.6384572319;0.0876857654;-0.4980745322;1.70479717;-0.6559511713
слова;-0.4119217398;-1.0211050059;1.6519917877;0.0220760893;-0.2410411312
дружка;1.2793942739;0.0812833541;-1.4055923426;-0.4133435198;0.4582582344
вся;-0.989477093;1.27459297;0.5663682276;0.1713602353;-1.0228443399
девушка;1.5538350693;-0.4646077106;-0.9376096947;-0.5652627905;0.4136451265
знать;-0.2537729042;0.6731975309;-1.0265550961;1.3628775892;-0.7557471198
об;-0.1615003491;-0.5232032795;-0.2452441585;1.7313920364;-0.8014442493
ум;-0.6135968941;-0.3004669391;1.7772290355;-0.4643571503;-0.398808052
оно;-0.6957387356;-0.8600675652;1.045224475;1.1365940082;-0.6260121824
будь;-1.016184044;-0.6954676078;1.2715903303;0.8404844639;-0.4004231424
смерть;-0.8243887999;-0.626711159;1.25449554;0.9151652705;-0.7185608516
среди;-1.2708998523;0.3395366524;1.095444481;0.6446190056;-0.8087002867
славы;-0.3322920928;-0.3770582829;1.7811606459;-0.5515118966;-0.5202983736
были;-0.4846415372;1.0635128337;0.4097510332;-1.4886652437;0.5000429141
кого;0.0629504882;-0.2462996696;-1.1055583301;-0.3257197341;1.6146272456
родной;-0.3579558339;1.0588449391;-1.5388077943;0.5449191068;0.2929995823
дочь;1.0636713818;-0.1436643531;-0.8989956767;-1.0203447176;0.9993333657
вижу;-1.1783580384;1.3023742087;0.5298477831;0.1317542155;-0.785618169
руку;-1.1201447667;1.5885302125;-0.0191585946;-0.4701516425;0.0209247913
землю;1.2315583578;-1.0303024948;-1.0306902907;0.5025738305;0.3268605972
земле;-0.9994972286;-0.0227054713;0.0134335739;1.62051666;-0.611747534
любил;1.4757202891;-0.9487370078;-0.7126277434;0.5383990956;-0.3527546335
рукой;-0.7329201388;-0.4851264145;1.7164079392;0.0312138354;-0.5295752211
через;0.3792773142;0.0492246503;-1.2381164562;-0.5934551147;1.4030696064
гулять;0.7831668464;0.4809117892;-1.230689899;-0.9222932062;0.8889044696
лучше;-0.124316261;1.1265077755;-1.5352836527;-0.0623431149;0.5954352532
пора;-0.4651265703;-1.3495828198;0.0939140731;1.3466565255;0.3741387916
прости;-0.4684310344;1.7424944095;-0.6283022602;-0.0573450983;-0.5884160166
лес;1.5341127939;-0.7696251695;0.4306667455;-0.875519809;-0.3196345608
прах;-0.5905883476;-0.3467577101;1.7629029575;-0.2098430426;-0.6157138572
замуж;0.6807709098;0.950406302;-1.2029014497;-0.953934092;0.5256583299
сквозь;-0.7543092748;-0.6946230777;1.5615430416;0.4455706577;-0.5581813468
свете;-0.4524783383;-0.1471493965;-0.3176359695;1.733785068;-0.8165213637
ведь;-0.9684082525;-0.6921899968;-0.1107470308;1.5934725798;0.1778727004
тех;0.0442347663;1.4093711159;0.3357277745;-0.5085672706;-1.2807663861
надо;-0.7651290556;0.1354723174;-0.4436955534;-0.6086003414;1.6819526331
дом;-0.9123308897;0.5661508459;1.4814954758;-0.5051031108;-0.6302123213
дай;-0.7745684105;-0.9982349458;0.5698864408;1.4246521355;-0.22173522
живет;0.1475937072;0.8372002502;-1.1726026568;-0.876837324;1.0646460234
никто;1.0829302932;-1.5201134968;-0.2599450295;0.0276656656;0.6694625675
ох;1.1796428704;-0.7082326994;-0.8105082052;-0.6648465283;1.0039445626
бежит;1.0325705849;-0.1248693355;-0.6850561569;-1.212258121;0.9896130285
девка;1.1040250554;0.836447885;-1.0739602628;-0.9589325017;0.092419824
молода;0.8653307414;0.6348237522;-1.1595244982;-1.0205179302;0.6798879347
брат;1.4514362739;-1.077898921;0.0231582756;-0.7694198948;0.3727242663
горит;-0.6049405008;-0.2846304471;-0.443848768;1.7773463198;-0.443926604
пошел;0.7626661865;0.1328215242;-1.02662632;-1.0156657444;1.1468043537
гости;1.3283367793;-0.4469886808;-1.1836718531;-0.3914906993;0.6938144539
воды;0.4057346626;0.1338529026;0.3460233989;-1.728413743;0.842802779
очей;-0.6865717766;-0.6460328206;0.3401729126;1.6149389661;-0.6225072816
кому;0.4128106621;1.4667897616;-1.0876795576;-0.6972070125;-0.0947138535
миленький;0.6652794632;-0.1479399269;-1.1021197339;-0.744399457;1.3291796547
пошла;1.0885883454;0.2881462445;-1.0735444419;-1.0272340848;0.7240439368
мил;1.3431616686;0.1318964097;-1.1931367821;-0.7389593437;0.4570380474
наши;1.6386729812;-0.9479954891;-0.5242370376;-0.3355887369;0.1691482824
моего;-0.1727503318;0.9832659174;-1.1442382128;-0.7382295588;1.0719521861
напрасно;-0.5463270418;-0.7146384383;1.4382786899;0.6551353986;-0.8324486084
тому;-0.6806506032;1.5789253231;-0.0398541774;-1.0095887302;0.1511681876
две;0.4947226987;-0.8434916891;-0.2896552362;-0.8546870135;1.49311124
человек;-0.5724869252;-0.2233533653;1.7047077562;-0.8438714207;-0.0649960451
край;-0.7206265775;-0.7606116506;0.508974182;1.5278766768;-0.5556126307
народ;-0.5213891047;-0.4548611513;1.7852891913;-0.4625075645;-0.3465313707
хочу;-0.1459415743;-0.5552509619;-0.3270797296;-0.717680483;1.7459527488
могу;-0.1964881377;1.7598755432;-0.5090214722;-0.6841604562;-0.3702054772
одно;-0.7895158965;-0.0096604628;1.6476049858;-0.0355926668;-0.8128359597
милая;0.5373134255;0.1692392375;-1.5626081709;1.0892737563;-0.2332182483
слез;-0.4533194981;-0.7222917276;0.3116648483;1.6157086836;-0.7517623062
та;1.264048776;-0.5050379188;-0.7777117827;0.887446959;-0.8687460334
вечно;-0.901719726;1.1530438191;0.8011479771;0.0489616162;-1.1014336865
нельзя;0.8371736329;0.5269668763;-1.6723625743;0.4517259003;-0.1435038353
одной;-0.3184833406;-1.003705718;0.1076228306;1.6421683633;-0.4276021353
сад;1.3316091251;0.1597393256;-1.1319309119;-0.8337127499;0.474295211
горя;1.1157948788;-0.4742272115;-1.4464239364;0.1636067268;0.6412495423
прежде;-0.9502242911;1.2330025021;0.7356332505;-0.0007564243;-1.0176550373
ничего;0.388696571;0.2588451974;-0.5473772368;-1.3686564642;1.2684919326
честь;-0.2861243911;0.0410838175;1.6063355432;-1.1331787424;-0.2281162271
чуть;-0.1271778983;0.5309541286;1.2976313969;-0.3165351623;-1.384872465
ними;-0.54622377;-0.6057087395;1.6821967329;0.161705442;-0.6919696654
вдоль;0.2385264056;0.9362768192;-1.1616033108;-0.933174698;0.919974784
кудри;-0.0179571176;1.1066631841;-1.6171528148;0.3646298715;0.1638168767
добра;-0.4764109681;0.4137820243;-1.3127876183;0.0048758215;1.3705407405
жил;-0.5622662275;-1.1403237606;0.5764623734;-0.278698582;1.4048261967
летит;-1.1440494022;0.935537967;-0.0235415319;1.0616588604;-0.8296058933
первый;-0.4611491944;-0.3107618018;1.5738870002;-1.0688448273;0.2668688232
слово;-0.7309727827;1.6991547002;-0.6390136158;0.076286986;-0.4054552877
везде;-0.9364404837;0.7690590848;1.3317006096;-0.3816836482;-0.7826355626
молодая;1.0594904259;-0.0426171406;-0.9617993709;-1.0147272172;0.9596533028
горы;1.739140491;-0.658136407;-0.2544743328;-0.6739504349;-0.1525793163
видел;1.0345505246;-1.0937000652;1.0544447251;-0.2462858519;-0.7490093326
хотя;-0.404855631;1.0980650324;0.8356833108;-1.3821930858;-0.1466996263
