"KIREEVSKY.n" "PESENNIKI.n" "RUSCORPORA.n" "RUSSKIE_PESNI.n" "SOBOLEVSKY.n"
"нет" 0.12763088185715 0.156318694738899 0.261439706459603 0.37560707193952 0.14479880034767
"ни" 0.438279632037759 0.288212593424845 0.220864179374513 0.265556592262973 0.220063612137884
"под" 0.275329512433977 0.224708123687167 0.211659301000581 0.186607335103711 0.276989789583274
"тебя" 0.234391305045835 0.32729226710957 0.183409846680583 0.358860259814828 0.272214103555976
"когда" 0.0802709948787105 0.0879292657906307 0.261333903259902 0.0933036675518553 0.0531056286235518
"мы" 0.167766379296505 0.112354061843584 0.214621790592191 0.169860522979019 0.19274668806174
"же" 0.172582638989228 0.0439646328953153 0.209701941806124 0.246417378406182 0.191218468533005
"был" 0.0907062242129429 0.117239021054174 0.242024819314586 0.0885188640876576 0.085580293609177
"со" 0.384498065469023 0.424991451321381 0.101518170112501 0.215316155888897 0.488075111989837
"там" 0.0939170640080913 0.107469102632993 0.229963254548744 0.215316155888897 0.0957047479870483
"без" 0.164555539501357 0.0879292657906307 0.192720528254215 0.428239910045695 0.149574486374968
"бы" 0.221547945865241 0.346832103951932 0.153943655564032 0.294265413048159 0.263044786383564
"ее" 0.0850872545714332 0.0683894289482683 0.213299250595937 0.174645326443216 0.0913111168419343
"вот" 0.105957713239898 0.0537345513164965 0.202454422626649 0.0933036675518553 0.12684222088503
"для" 0.0369246576442068 0.0537345513164965 0.22588983136028 0.227278164549391 0.0422170644813127
"тебе" 0.21913981601888 0.205168286844805 0.166587137928225 0.260771788798775 0.2007698405876
"всё" 0 0 0.240755180918181 0.16746812124692 0
"моя" 0.422225433062017 0.527575594743784 0.0831613149644872 0.363645063279026 0.428283522928069
"кто" 0.0706384754932653 0.0488495921059059 0.205998829816611 0.141151702193832 0.07889433317096
"нам" 0.107563133137472 0.0830443065800401 0.170290249917738 0.136366898729635 0.107166394452563
"нас" 0.146093210679253 0.0928142250012212 0.152039197969425 0.136366898729635 0.148046266846232
"ж" 0.11639294257413 0.0976991842118118 0.163413041937214 0.169860522979019 0.0722083727327431
"ль" 0.126025461959576 0.273557715793073 0.140718255601486 0.311012225172851 0.127606330649398
"над" 0.0465571770296521 0.0439646328953153 0.17092506911594 0.160290916050623 0.0498581621249893
"друг" 0.161344699706208 0.224708123687167 0.1304024436307 0.327759037297543 0.147282157081865
"сердце" 0.126025461959576 0.185628450002442 0.132835917223809 0.449771525634585 0.121493452534457
"еще" 0.109971262983833 0.102584143422402 0.123578137250027 0.0789492571592622 0.162373324928126
"здесь" 0.0184623288221034 0.0537345513164965 0.168967709921483 0.0622024450345702 0.0183386343448236
"лишь" 0.0160541989757421 0.0781593473694495 0.164206565934967 0.177037728175315 0.0181476069037317
"до" 0.199072067299202 0.0781593473694495 0.107390247695871 0.160290916050623 0.175363190922376
"ах" 0.138066111191382 0.840212984221582 0.0717345693968477 0.562214407043231 0.241458685540178
"ней" 0.0794682849299234 0.0439646328953153 0.140824058801186 0.16746812124692 0.0576902872097577
"твой" 0.0256867183611874 0.0488495921059059 0.150875362772721 0.0622024450345702 0.0229232929310295
